00:00:00.008801 main     VirtualBox COM Server 7.1.8 r168469 win.amd64 (Apr 11 2025 16:45:31) release log
00:00:00.008804 main     Log opened 2025-04-19T06:41:02.285412700Z
00:00:00.008805 main     Build Type: release
00:00:00.008812 main     OS Product: Windows 11
00:00:00.008813 main     OS Release: 10.0.26100
00:00:00.008813 main     OS Service Pack: 
00:00:00.052633 main     DMI Product Name: Inspiron 15 3535
00:00:00.078808 main     DMI Product Version: 1.20.0
00:00:00.078835 main     Firmware type: UEFI
00:00:00.079601 main     Secure Boot: Enabled
00:00:00.080086 main     Host RAM: 7379MB (7.2GB) total, 965MB available
00:00:00.080102 main     Executable: C:\Program Files\Oracle\VirtualBox\VBoxSVC.exe
00:00:00.080103 main     Process ID: 12756
00:00:00.080103 main     Package type: WINDOWS_64BITS_GENERIC
00:00:00.081300 main     Windows Features:
00:00:00.081302 main       Core Isolation (Memory Integrity): ENABLED
00:00:00.245116          VirtualBox: object creation starts
00:00:00.246547          Home directory: 'C:\Users\RAJAN\.VirtualBox'
00:00:00.247137          Installed Drivers:
00:00:00.314718          Loading settings file "C:\Users\RAJAN\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:00.324839          usbLibGetDevices: Starting USB device enumeration
00:00:00.377899          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#5&13f88fcb&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 2
00:00:00.524747          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#5&31c52a58&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 1
00:00:00.529899          usbLibGetDevices: Found 2 USB devices, 0 captured
00:00:00.532511          USB: Unknown USB device detected (idVendor: 0x0bda, idProduct: 0xc829)
00:00:00.535843          USB: Unknown USB device detected (idVendor: 0x1bcf, idProduct: 0x28d3)
00:00:00.637656          HostDnsMonitor: initializing
00:00:00.650731          HostDnsMonitor: updating information
00:00:00.651804          HostDnsMonitor: old information
00:00:00.651808            no server entries
00:00:00.651810            no domain set
00:00:00.651810            no search string entries
00:00:00.651811          HostDnsMonitor: new information
00:00:00.651811            server 1: 192.168.159.192
00:00:00.651812            no domain set
00:00:00.651813            no search string entries
00:00:00.684053          VD: VDInit finished with VINF_SUCCESS
00:00:00.696662          Platform architecture set to 'x86'
00:00:00.725165          Loading settings file "C:\Users\RAJAN\VirtualBox VMs\Basics\Basics.vbox" with version "1.19-windows"
00:00:00.730974          Platform architecture set to 'x86'
00:00:00.740555          VirtualBox: object created
00:00:01.006476          Saving settings file "C:\Users\RAJAN\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:01.014396          Finished saving settings file "C:\Users\RAJAN\.VirtualBox\VirtualBox.xml"
00:00:01.015697          Saving settings file "C:\Users\RAJAN\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:01.022093          Finished saving settings file "C:\Users\RAJAN\.VirtualBox\VirtualBox.xml"
00:00:01.022578          Saving settings file "C:\Users\RAJAN\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:01.029356          Finished saving settings file "C:\Users\RAJAN\.VirtualBox\VirtualBox.xml"
00:00:03.331576          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Saved)}, preserve=false aResultDetail=0
00:00:03.406369 USBPROXY usbLibGetDevices: Starting USB device enumeration
00:00:03.449304 USBPROXY Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#5&13f88fcb&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 2
00:00:03.500714 USBPROXY Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#5&31c52a58&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 1
00:00:03.501048 USBPROXY usbLibGetDevices: Found 2 USB devices, 0 captured
00:00:05.390440          Saving settings file "C:\Users\RAJAN\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:05.396214          Finished saving settings file "C:\Users\RAJAN\.VirtualBox\VirtualBox.xml"
00:00:09.970655          Saving settings file "C:\Users\RAJAN\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:10.106905          Finished saving settings file "C:\Users\RAJAN\.VirtualBox\VirtualBox.xml"
00:00:10.339069          Launched VM: 4075289072 pid: 21864 (0x5568) frontend: GUI/Qt name: Basics
00:00:10.428155          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Saved)}, preserve=false aResultDetail=0
00:00:10.534671          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Saved)}, preserve=false aResultDetail=0
00:00:20.676827          Platform architecture set to 'x86'
00:00:20.900052          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Saved)}, preserve=false aResultDetail=0
00:00:21.999163          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={70401eef-c8e9-466b-9660-45cb3e9979e4} aComponent={ExtPackManagerWrap} aText={No extension pack by the name 'Oracle VirtualBox Extension Pack' was found}, preserve=false aResultDetail=0
00:00:22.141078          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={bea3ef5c-de2f-4b74-aa3a-15d6249371a0} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:00:23.792696          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={bea3ef5c-de2f-4b74-aa3a-15d6249371a0} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:00:23.862474          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Restoring)}, preserve=false aResultDetail=0
00:00:23.879147          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={SessionMachine} aText={The machine is not mutable or saved (state is Restoring)}, preserve=false aResultDetail=0
00:00:23.988214          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={SessionMachine} aText={The machine is not mutable or saved (state is Restoring)}, preserve=false aResultDetail=0
00:00:26.209046          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:00:26.211148          HostDnsMonitorProxy::GetDomainName: no domain set
00:00:26.211863          HostDnsMonitorProxy::GetNameServers:
00:00:26.211933            name server 1: 192.168.159.192
00:00:26.212155          HostDnsMonitorProxy::GetSearchStrings:
00:00:26.212178            no search string entries
00:00:33.688023          Saving settings file "C:\Users\RAJAN\VirtualBox VMs\Basics\Basics.vbox" with version "1.19-windows"
00:00:33.709934          Finished saving settings file "C:\Users\RAJAN\VirtualBox VMs\Basics\Basics.vbox"
00:00:34.182946          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={bea3ef5c-de2f-4b74-aa3a-15d6249371a0} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:00:34.196729          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:45.900623          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Paused)}, preserve=false aResultDetail=0
00:00:46.140558          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={bea3ef5c-de2f-4b74-aa3a-15d6249371a0} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
